,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,prechgPct,chgPct
10,600066.XSHG,600066,郑州客车,XSHG,1997/5/22,25.1,25.1,22.6,23.7,22.59,22.59,1660827,37744936,,0.0475,0.022458922,790650000,1649070000,-0.1,,,4.8647,1,,-0.0191,
11,600066.XSHG,600066,郑州客车,XSHG,1997/5/23,22.59,22.59,22.59,23.25,21.5,23.19,1227260,27576478,,0.0351,0.022458922,811650000,1692870000,0.0266,,,4.9939,1,,-0.1,
12,600066.XSHG,600066,郑州客车,XSHG,1997/5/26,23.19,23.19,23.31,23.5,21.7,22.99,865306,19533810,,0.0247,0.022458922,804650000,1678270000,-0.0086,,,4.9508,1,,0.0266,
13,600066.XSHG,600066,郑州客车,XSHG,1997/5/27,22.99,22.99,23,23.48,22.75,22.96,850298,19615994,,0.0243,0.022458922,803600000,1676080000,-0.0013,,,4.9444,1,,-0.0086,
14,600066.XSHG,600066,郑州客车,XSHG,1997/5/28,22.96,22.96,22.8,23.3,22.3,22.8,1115349,25331120,,0.0319,0.022458922,798000000,1664400000,-0.007,,,4.9099,1,,-0.0013,
15,600066.XSHG,600066,郑州客车,XSHG,1997/5/29,22.8,22.8,22.98,23.95,22.8,22.86,897280,20926308,,0.0256,0.022458922,800100000,1668780000,0.0026,,,4.9228,1,,-0.007,
16,600066.XSHG,600066,郑州客车,XSHG,1997/5/30,22.86,22.86,22.86,23.5,22.8,23.4,636076,14741255,,0.0182,0.022458922,819000000,1708200000,0.0236,,,5.0391,1,,0.0026,
17,600066.XSHG,600066,郑州客车,XSHG,1997/6/2,23.4,23.4,24.58,25.72,24.2,25.72,3144726,79614768,,0.0898,0.022458922,900200000,1877560000,0.0991,,,5.5387,1,,0.0236,
18,600066.XSHG,600066,郑州客车,XSHG,1997/6/3,25.72,25.72,25.8,26.45,25.08,25.7,2703547,69809720,,0.0772,0.022458922,899500000,1876100000,-0.0008,,,5.5344,1,,0.0991,
19,600066.XSHG,600066,郑州客车,XSHG,1997/6/4,25.7,25.7,26,26.2,25.36,25.78,1435287,37002696,,0.041,0.022458922,902300000,1881940000,0.0031,,,5.5517,1,,-0.0008,
20,600066.XSHG,600066,郑州客车,XSHG,1997/6/5,25.78,25.78,25.8,26.88,25.5,26.75,2885734,75722784,,0.0824,0.022458922,936250000,1952750000,0.0376,,,5.7605,1,,0.0031,
21,600066.XSHG,600066,郑州客车,XSHG,1997/6/6,26.75,26.75,25.08,26.5,24.08,24.99,2973801,75480888,,0.085,0.022458922,874650000,1824270000,-0.0658,,,5.3815,1,,0.0376,
22,600066.XSHG,600066,郑州客车,XSHG,1997/6/9,24.99,24.99,25.1,25.59,24.78,25.14,1041255,26171984,,0.0298,0.022458922,879900000,1835220000,0.006,,,5.4138,1,,-0.0658,
23,600066.XSHG,600066,郑州客车,XSHG,1997/6/10,25.14,25.14,25.01,25.4,23.82,23.96,830176,20465054,,0.0237,0.022458922,838600000,1749080000,-0.0469,,,5.1597,1,,0.006,
24,600066.XSHG,600066,郑州客车,XSHG,1997/6/11,23.96,23.96,23.8,23.89,22.45,23.3,1293344,29898256,,0.037,0.022458922,815500000,1700900000,-0.0275,,,5.0176,1,,-0.0469,
25,600066.XSHG,600066,郑州客车,XSHG,1997/6/12,23.3,23.3,23.68,24.1,23.25,23.55,567920,13409926,,0.0162,0.022458922,824250000,1719150000,0.0107,,,5.0714,1,,-0.0275,
26,600066.XSHG,600066,郑州客车,XSHG,1997/6/13,23.55,23.55,23,24.8,22.89,24.75,1276763,30803664,,0.0365,0.022458922,866250000,1806750000,0.051,,,5.3299,1,,0.0107,
27,600066.XSHG,600066,郑州客车,XSHG,1997/6/16,24.75,24.75,25.2,25.2,24.61,24.62,564779,14027299,,0.0161,0.022458922,861700000,1797260000,-0.0053,,,5.3019,1,,0.051,
